pdb,pred
proteina_240+ligando_240,2.73
proteina_525+ligando_525,1.61
proteina_798+ligando_798,2.97
proteina_932+ligando_932,4.63
proteina_971+ligando_971,1.42
proteina_985+ligando_985,2.67
proteina_1254+ligando_1254,3.13
proteina_2345+ligando_2345,4
proteina_2537+ligando_2537,3.53
proteina_2758+ligando_2758,3.38
proteina_3314+ligando_3314,2.85
proteina_3893+ligando_3893,2.73
proteina_3931+ligando_3931,2.88
proteina_4133+ligando_4133,3.12
proteina_5298+ligando_5298,4.56
proteina_6054+ligando_6054,2.78
proteina_6549+ligando_6549,3.13
proteina_6654+ligando_6654,3.27
proteina_6987+ligando_6987,3.21
proteina_7127+ligando_7127,3.19
proteina_7150+ligando_7150,3.04
proteina_7461+ligando_7461,3.08
proteina_7794+ligando_7794,3.36
proteina_7843+ligando_7843,1.81
proteina_8363+ligando_8363,4.02
proteina_8742+ligando_8742,2.87
proteina_8785+ligando_8785,2.96
proteina_10248+ligando_10248,3.37
proteina_10465+ligando_10465,2.77
proteina_10659+ligando_10659,3.32
proteina_11005+ligando_11005,2.4
proteina_11142+ligando_11142,3.18
proteina_11230+ligando_11230,3.11
proteina_11463+ligando_11463,3.36
proteina_12391+ligando_12391,3.09
proteina_13849+ligando_13849,2.85
proteina_14529+ligando_14529,3.02
proteina_14896+ligando_14896,3.47
proteina_17100+ligando_17100,3.23
proteina_17868+ligando_17868,3.23
proteina_18818+ligando_18818,3
proteina_22311+ligando_22311,3.35
proteina_26447+ligando_26447,3.27
proteina_27867+ligando_27867,3.03
proteina_31225+ligando_31225,3.19
proteina_31253+ligando_31253,2.81
proteina_61290+ligando_61290,3.63
proteina_62566+ligando_62566,4.43
proteina_64685+ligando_64685,3.47
proteina_68071+ligando_68071,4.32
proteina_68213+ligando_68213,4.21
proteina_73571+ligando_73571,4.31
proteina_75699+ligando_75699,3.03
proteina_76573+ligando_76573,4.29
proteina_86609+ligando_86609,4
proteina_91354+ligando_91354,3.94
proteina_92231+ligando_92231,4.31
proteina_92776+ligando_92776,3.32
proteina_93081+ligando_93081,4.17
proteina_94254+ligando_94254,3.65
proteina_119853+ligando_119853,4.03
proteina_122850+ligando_122850,4.81
proteina_154279+ligando_154279,4.49
proteina_160799+ligando_160799,4.11
proteina_316974+ligando_316974,3.99
proteina_440917+ligando_440917,3.33
proteina_440967+ligando_440967,3.47
proteina_440968+ligando_440968,3.27
proteina_441005+ligando_441005,4.06
proteina_442495+ligando_442495,3.12
proteina_442501+ligando_442501,2.92
proteina_444972+ligando_444972,1.91
proteina_445638+ligando_445638,2.83
proteina_445639+ligando_445639,2.51
proteina_576906+ligando_576906,3.35
proteina_636822+ligando_636822,3.4
proteina_643779+ligando_643779,2.19
proteina_656496+ligando_656496,3.98
proteina_1549025+ligando_1549025,3.48
proteina_1549109+ligando_1549109,3.79
proteina_1549992+ligando_1549992,3.66
proteina_1742210+ligando_1742210,4.24
proteina_1794427+ligando_1794427,4.4
proteina_3034034+ligando_3034034,5.47
proteina_3083788+ligando_3083788,4.9
proteina_5280343+ligando_5280343,4.39
proteina_5280443+ligando_5280443,4.38
proteina_5280445+ligando_5280445,4.33
proteina_5280459+ligando_5280459,5.4
proteina_5280804+ligando_5280804,5.36
proteina_5280805+ligando_5280805,5.23
proteina_5281515+ligando_5281515,3.86
proteina_5281516+ligando_5281516,2.76
proteina_5281517+ligando_5281517,2.99
proteina_5281520+ligando_5281520,3.84
proteina_5281553+ligando_5281553,2.67
proteina_5281672+ligando_5281672,4.39
proteina_5282102+ligando_5282102,5.44
proteina_5282159+ligando_5282159,5.25
proteina_5282754+ligando_5282754,2.62
proteina_5284507+ligando_5284507,3.94
proteina_5317284+ligando_5317284,4.34
proteina_5317570+ligando_5317570,4.03
proteina_5318393+ligando_5318393,3
proteina_5318767+ligando_5318767,5.5
proteina_5319484+ligando_5319484,5.47
proteina_5320250+ligando_5320250,2.75
proteina_5352847+ligando_5352847,4.12
proteina_5355853+ligando_5355853,3.49
proteina_5356057+ligando_5356057,3.49
proteina_6429022+ligando_6429022,3.44
proteina_6432176+ligando_6432176,4.09
proteina_6432225+ligando_6432225,2.94
proteina_6432404+ligando_6432404,3.29
proteina_6432468+ligando_6432468,2.86
proteina_6432640+ligando_6432640,3.64
proteina_6436582+ligando_6436582,3.92
proteina_6451618+ligando_6451618,3.23
proteina_6508206+ligando_6508206,4.03
proteina_6918391+ligando_6918391,3.46
proteina_10104370+ligando_10104370,3.84
proteina_10398656+ligando_10398656,3.37
proteina_11043779+ligando_11043779,2.9
proteina_11095734+ligando_11095734,3.94
proteina_11106485+ligando_11106485,4.58
proteina_11745938+ligando_11745938,4.5
proteina_11770062+ligando_11770062,4.08
proteina_12304273+ligando_12304273,3.43
proteina_12306047+ligando_12306047,3.45
proteina_12309449+ligando_12309449,3.48
proteina_12315151+ligando_12315151,3
proteina_13894537+ligando_13894537,3.83
proteina_14753671+ligando_14753671,4.74
proteina_15715157+ligando_15715157,4.25
proteina_16213286+ligando_16213286,2.36
proteina_24798693+ligando_24798693,3.9
proteina_42608158+ligando_42608158,4.54
proteina_44258141+ligando_44258141,5.5
proteina_44258359+ligando_44258359,4.28
proteina_101629835+ligando_101629835,3.05
