ligando,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAmideBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,MQNs_atom_counts_c,MQNs_atom_counts_f,MQNs_atom_counts_cl,MQNs_atom_counts_br,MQNs_atom_counts_i,MQNs_atom_counts_s,MQNs_atom_counts_p,MQNs_atom_counts_an,MQNs_atom_counts_cn,MQNs_atom_counts_ao,MQNs_atom_counts_co,MQNs_atom_counts_hac,MQNs_bond_counts_asb,MQNs_bond_counts_adb,MQNs_bond_counts_atb,MQNs_bond_counts_csb,MQNs_bond_counts_cdb,MQNs_bond_counts_ctb,MQNs_bond_counts_rbc,MQNs_polarity_counts_hbam,MQNs_polarity_counts_hba,MQNs_polarity_counts_hbdm,MQNs_polarity_counts_hbd,MQNs_polarity_counts_negc,MQNs_polarity_counts_posc,MQNs_topology_counts_asv,MQNs_topology_counts_adv,MQNs_topology_counts_atv,MQNs_topology_counts_aqv,MQNs_topology_counts_cdv,MQNs_topology_counts_ctv,MQNs_topology_counts_cqv,MQNs_topology_counts_r3,MQNs_topology_counts_r4,MQNs_topology_counts_r5,MQNs_topology_counts_r6,MQNs_topology_counts_r7,MQNs_topology_counts_r8,MQNs_topology_counts_rg,MQNs_topology_counts_rgIO,MQNs_topology_counts_afrc,MQNs_topology_counts_bfrc,nAtom,nHeavyAtom,nH,nB,nC,nN,nO,nS,nP,nF,nCl,nBr,nI,nX,nBonds,nBonds2,nBondsS,nBondsS2,nBondsS3,nBondsD,nBondsD2,nBondsT,nBondsQ,nBondsM,nRing,n3Ring,n4Ring,n5Ring,n6Ring,n7Ring,n8Ring,n9Ring,n10Ring,n11Ring,n12Ring,nG12Ring,nFRing,nF4Ring,nF5Ring,nF6Ring,nF7Ring,nF8Ring,nF9Ring,nF10Ring,nF11Ring,nF12Ring,nFG12Ring,nTRing,nT4Ring,nT5Ring,nT6Ring,nT7Ring,nT8Ring,nT9Ring,nT10Ring,nT11Ring,nT12Ring,nTG12Ring,nHeteroRing,n3HeteroRing,n4HeteroRing,n5HeteroRing,n6HeteroRing,n7HeteroRing,n8HeteroRing,n9HeteroRing,n10HeteroRing,n11HeteroRing,n12HeteroRing,nG12HeteroRing,nFHeteroRing,nF4HeteroRing,nF5HeteroRing,nF6HeteroRing,nF7HeteroRing,nF8HeteroRing,nF9HeteroRing,nF10HeteroRing,nF11HeteroRing,nF12HeteroRing,nFG12HeteroRing,nTHeteroRing,nT4HeteroRing,nT5HeteroRing,nT6HeteroRing,nT7HeteroRing,nT8HeteroRing,nT9HeteroRing,nT10HeteroRing,nT11HeteroRing,nT12HeteroRing,nTG12HeteroRing,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex
lig_240,3.682463305848331,384.126426236108,971.5503877581306,-1.11,1.4386129877383431,2.262450086021194,0.936277398677246,11.04145188432738,6.374785217660714,9.908248290463863,4.954124145231932,1.1020620726159658,0.6020620726159658,0.3010310363079829,3.908248290463863,1.9541241452319316,1.1020620726159658,0.6020620726159658,0.3010310363079829,1.4991,31.829499999999996,106.12399999999995,106.041864812,8,100.07599999999998,0,1,1,0,1,1,40,0,1,0,0,0,0,0,1,0,0,1,0.0,0,0,17.07,56.387690334944224,0.0,4.794537184071822,0.0,0.0,0.0,30.212093538316473,0.0,5.563451491696996,6.853792780851101,7.632970718501461,0.0,0.0,0.0,0.0,13.019088521093142,0.0,0.0,0.0,0.0,0.0,35.77554503001347,0.0,0.0,6.262212162331241,0.0,6.262212162331241,0.0,0.0,18.582540012790137,30.212093538316473,0.0,0.0,0.0,0.0,0.0,0.0,42.037757192344706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.224551337021321,4.794537184071822,0.0,42.84177626606198,10.701557067271352,0.0,-0.5870370370370368,0.0,-3.013703703703703,-1.2759259259259255,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,1,0,8,7,1,0,3,3,0,1,2,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,14,8,6,0,7,0,1,0,0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,13.0,7.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.337531825808875e-06,96.68732851994122,310.27147557108526,406.9588040878396,0.2375850517269356,0.7624149482808954,1.958251278345092,0.007885365744939902,0.971366739803206,0.456584815230139,1.7196984605921534e-11
lig_525,5.448985462319088,313.42608773905533,378.59407904272814,-0.2,3.845101982189027,3.755435235318618,4.312820512820515,10.8618073195658,5.69741151772795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,128.039,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.98095178218893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4,0,4,0,5,0,0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,8.0,8.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
lig_798,3.150039029687955,549.6782375942151,3959.3868124126034,-1.2400000000000002,1.4277188281068822,1.6217242815493544,0.6166634028189337,12.196152422706632,7.374785217660714,11.447213595499958,5.894427190999916,1.5722135954999579,1.0163118960624633,0.6199593469062212,4.447213595499958,2.447213595499958,1.5722135954999579,1.0163118960624633,0.6199593469062212,2.1678999999999995,38.29870000000002,117.15099999999994,117.057849224,9,110.09499999999997,1,1,0,1,1,0,44,0,2,0,0,1,0,0,1,0,0,2,0.0,0,0,15.79,63.215078205659516,4.977003270229252,0.0,0.0,0.0,0.0,18.127256122989884,17.471061629791386,11.689595928431022,8.224551337021321,0.0,1.4118420783282006,0.0,0.0,0.0,9.636393415349522,0.0,4.977003270229252,0.0,0.0,0.0,36.38498874913124,0.0,0.0,10.902924932081056,0.0,4.977003270229252,0.0,0.0,8.224551337021321,36.38498874913124,1.4118420783282006,10.902924932081056,0.0,0.0,0.0,0.0,24.300151333804646,22.987762347407646,4.977003270229252,0.0,0.0,0.0,0.0,0.0,9.636393415349522,0.0,0.0,52.44462962962963,0.5511111111111109,-0.07777777777777728,-0.12407407407407378,0.0,-2.0179629629629616,-0.4425925925925924,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,0,0,9,7,0,0,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0,2,1,16,9,7,0,8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.154235045535971e-06,122.60128036361795,307.13761495812054,429.7388953121524,0.2852924920248683,0.7147075079974384,1.9152670249721129,0.005829527276368711,0.9584405010193593,0.38829794193722683,5.547957734909081e-11
lig_932,2.450204374170222,1123.8415183949342,6407696.575554075,-2.6899999999999986,4.697197864035897,4.450130076951275,2.0288426715458816,24.33398062421133,14.810002382858716,21.541241452319316,10.949489742783179,3.701806944007555,2.395620726159658,1.5696534720037774,9.541241452319316,5.224744871391589,3.701806944007555,2.395620726159658,1.5696534720037774,2.5099000000000014,70.19490000000002,272.25599999999974,272.0684734840003,20,260.15999999999997,3,5,5,3,5,4,102,0,2,0,1,0,0,1,2,0,0,3,0.13333333333333333,0,0,86.99000000000001,131.35491787775572,20.063287527121684,4.794537184071822,0.0,0.0,0.0,12.08483741532659,17.648288907023584,14.826354527667029,15.968234794520917,34.641516851782605,5.783244946364939,0.0,4.293598971697903,0.0,37.194651716725495,4.293598971697903,0.0,0.0,12.452942928279366,0.0,47.38141522937376,0.0,22.99804733313562,5.783244946364939,4.736862953800049,25.403268491384484,0.0,0.0,40.71121010127718,36.25451224597977,0.0,0.0,0.0,0.0,22.99804733313562,0.0,88.61565043715369,0.0,0.0,0.0,0.0,0.0,0.0,15.326424573321638,21.367288931029936,4.794537184071822,0.0,99.24757625406299,13.063009101788861,12.447094542362398,-1.9320597652641305,-5.093908269894018,-5.813717957160416,-6.751327239229028,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,4,1,20,16,1,0,11,6,0,4,10,5,0,0,0,0,1,3,0,0,1,13,2,0,0,0,3,0,0,0,0,2,1,32,20,12,0,15,0,5,0,0,0.0,0.0,0.0,0.0,0.0,22.0,34.0,33.0,21.0,9.0,1.0,1.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3470803750104524,666.3461194533528,2954.26719694723,3561.426276648613,0.1871009162319093,0.8295179985382894,3.6317853286520845,0.0012448755598949044,0.9823406981008066,0.5422355640189446,0.04867373934371293
lig_971,5.986994486956947,191.27267272172614,13.609640474436812,-0.16,5.84,2.092580221429912,2.100416666666667,5.154700538379252,2.6427344100918364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,88.018,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.060678510216963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,0,4,0,0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
lig_985,7.691390383587223,1300.8021596902697,683253521.6483619,-0.08,2.2341128369207452,14.979101654846337,15.920000000000003,41.07735026918962,20.443375672974064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,224.17399999999995,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.0905124490683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,18,31,0,16,0,2,0,0,0.0,0.0,0.0,0.0,0.0,17.0,48.0,46.0,46.0,15.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
lig_1254,4.480564332270448,700.9428729450636,601119.9573411528,-0.04,1.134298419566132,3.5728285052475055,2.193985626557494,25.707106781186546,13.060660171779821,25.408248290463863,12.612372435695795,1.8291241452319316,1.0280931089239487,0.5650775907699572,5.408248290463863,2.7041241452319316,1.8291241452319316,1.0280931089239487,0.5650775907699572,2.439500000000001,47.34980000000002,156.26900000000018,156.15141526,11,136.10899999999998,1,1,1,1,1,5,66,0,0,1,1,0,0,0,0,1,1,1,1.0,0,0,20.23,97.99821291754921,5.1088081911072125,0.0,0.0,0.0,0.0,26.928601253216417,30.427722858747998,24.673654011063956,7.450776583120208,0.0,0.0,1.4311996572326342,0.0,0.0,31.153220758341387,1.4311996572326342,0.0,17.681873056089238,45.75446908282516,0.0,0.0,0.0,0.0,0.0,0.0,12.620025875289835,0.0,17.681873056089238,65.7188636231094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.43634213891439,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,27.47561222446681,0.0,0.0,156.06461734693877,0.0,3.823125,0.0,-13.48773384353742,0.0,-17.847291666666678,-12.552716836734696,0.0,0.0,10,0,0,0,0,0,0,0,0,1,0,11,25,0,0,6,0,0,5,2,1,0,0,0,0,0,1,0,4,0,0,6,0,0,0,1,0,0,0,0,0,0,31,11,20,0,10,0,1,0,0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,31.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6237350165925698,262.57532389858153,675.6381928853216,885.6475766639469,0.29647834061450157,0.7628747717351775,2.415708153832652,0.0029053559200019658,0.9550395769529509,0.36251283564641656,0.23620527582371634
lig_2345,2.6023255490073924,942.7820799584568,663282.5559757632,-2.0899999999999994,3.2014905114022945,5.121140695118211,2.7009160415731115,21.712660280651686,12.73466311007117,19.816496580927726,10.112372435695795,2.491581623797196,1.4499149571305296,0.8015040330272392,7.816496580927726,4.112372435695795,2.491581623797196,1.4499149571305296,0.8015040330272392,3.0436000000000014,62.00350000000004,212.24800000000008,212.083729624,16,200.15199999999996,0,2,2,0,2,3,80,0,2,0,0,0,0,0,2,0,0,2,0.07142857142857142,0,0,26.3,111.35309488591857,4.736862953800049,0.0,4.794537184071822,0.0,0.0,48.33934966130636,17.648288907023584,0.0,22.012554165739633,6.558985242916289,0.0,0.0,0.0,5.969305287951849,25.980502811914505,0.0,0.0,0.0,6.558985242916289,0.0,71.55109006002695,0.0,0.0,5.969305287951849,0.0,5.969305287951849,11.295848196716339,0.0,32.37054284150845,60.42418707663295,0.0,0.0,0.0,0.0,0.0,0.0,84.07938059089508,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,16.44910267404264,4.794537184071822,0.0,96.47045019842572,12.367072782816829,0.0,-1.9014272591752754,-1.6446192365835224,-8.632197739263033,0.0,-3.2426120795540454,0.0,0.0,14,0,0,0,0,0,0,0,0,2,0,16,16,1,0,6,6,0,3,4,2,0,0,0,0,1,1,1,1,0,12,0,0,0,0,2,0,0,0,0,0,0,28,16,12,0,14,0,2,0,0,0.0,0.0,0.0,0.0,0.0,17.0,29.0,28.0,16.0,4.0,1.0,1.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8648087388437151,373.47778982303043,2011.1740803742034,2080.856394993849,0.17948273159144865,0.9665126748836258,3.243386073776369,0.0025878718928416073,0.9837611239830897,0.561868787752724,0.2560337236730763
lig_2537,3.397518913244442,679.4602280695815,147379.4088122078,-0.33,1.3031639257609005,1.701311022684903,0.6047691790209927,22.077350269189626,11.404700538379252,21.408248290463863,10.954124145231932,2.5791241452319316,1.8916241452319316,1.0905931089239487,5.408248290463863,2.9541241452319316,2.5791241452319316,1.8916241452319316,1.0905931089239487,2.401700000000001,44.23600000000002,152.23700000000014,152.120115132,11,136.10899999999998,0,1,1,0,1,3,62,0,0,2,2,0,0,0,0,2,2,2,0.9,0,2,17.07,90.65311785306926,0.0,4.794537184071822,0.0,0.0,0.0,20.555676351887037,24.054797957418618,33.72005226944968,0.0,5.783244946364939,0.0,0.0,0.0,0.0,26.726674082795338,0.0,0.0,16.723938624156638,39.674451055875174,0.0,0.0,0.0,0.0,5.783244946364939,0.0,5.783244946364939,4.794537184071822,16.723938624156638,61.606587954598744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.18163462639674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.932136898723517,4.794537184071822,0.0,125.83087962962966,12.913055555555555,0.0,-8.336226851851853,-6.337268518518518,0.0,-11.854768518518522,-12.299004629629632,0.0,0.0,10,0,0,0,0,0,0,0,0,1,0,11,19,1,0,8,0,0,3,2,1,0,0,0,0,1,0,0,3,0,1,6,0,0,2,0,0,0,0,0,3,2,27,11,16,0,10,0,1,0,0,0.0,0.0,0.0,0.0,0.0,12.0,28.0,27.0,27.0,11.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.101380471174769,328.2083962640008,409.2694203021511,432.29395561647846,0.7592250412013162,0.9467387063474137,1.9600875141333967,0.00288456577322259,0.6508281930070791,0.026213487507641877,0.9404037597701347
lig_2758,3.306623515002069,644.3399355384114,294721.22440064966,-0.04,1.2112829745401525,2.0070319396307648,1.0992889094512,23.707106781186546,12.207106781186548,23.408248290463863,11.908248290463863,2.3394345083117605,1.385310363079829,0.8712638086178546,5.408248290463863,2.908248290463863,2.3394345083117605,1.385310363079829,0.8712638086178546,2.7441000000000013,45.52700000000002,154.25300000000016,154.135765196,11,136.10899999999998,0,1,1,0,1,3,64,0,0,3,3,0,2,2,0,1,1,3,1.0,0,2,9.23,94.41508198286799,4.736862953800049,0.0,0.0,0.0,0.0,0.0,51.94133364256763,24.673654011063956,11.202101621967376,0.0,0.0,0.0,0.0,0.0,29.410516964864005,0.0,0.0,5.893957685363079,57.24947757917192,0.0,0.0,0.0,0.0,0.0,0.0,11.202101621967376,4.736862953800049,5.893957685363079,70.72102996826854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.143435264535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.410516964864005,0.0,0.0,147.2791666666667,0.0,0.0,-8.433333333333335,-4.260416666666666,0.0,-16.347916666666677,-12.237500000000002,0.0,0.0,10,0,0,0,0,0,0,0,0,0,1,11,21,0,0,9,0,0,3,2,1,0,0,0,0,0,0,0,3,1,0,7,0,0,0,3,0,0,0,0,8,9,29,11,18,0,10,0,1,0,0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,30.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0405888368771399,308.685696214427,449.6417586225866,472.5327359141699,0.6532578015303816,0.9515568434696953,1.997434539597349,0.0030826075038109346,0.7571355524208941,0.062360312444371006,0.7141998175364281
